customer_id,model,credit_score,income_k,region,profit_usd
C00050,Model_A,699,27.6,East,170.75
C00051,Model_A,618,54.3,South,-83.48
C00052,Model_A,700,50.2,West,146.48
C00053,Model_A,676,25.2,West,-195.17
C00054,Model_A,679,64.1,East,82.89
C00055,Model_A,684,77.1,South,131.1
C00056,Model_A,697,57.9,East,-131.9
C00057,Model_A,597,90.6,North,61.05
C00058,Model_A,654,59.8,South,-11.14
C00059,Model_A,695,34.7,South,28.77
C00060,Model_A,664,50.8,South,-4.42
C00061,Model_A,603,21.7,North,118.77
C00062,Model_A,595,61.8,South,-29.1
C00063,Model_A,691,54.4,South,63.18
C00064,Model_A,694,28.3,East,151.39
C00065,Model_A,657,76.4,South,58.79
C00066,Model_A,605,33.6,North,120.96
C00067,Model_A,691,80.1,West,-107.23
C00068,Model_A,744,55.5,East,106.45
C00069,Model_A,624,64.1,West,103.3
C00070,Model_A,708,66.3,East,169.41
C00071,Model_A,680,113.9,East,304.14
C00072,Model_A,704,60.7,North,-7.8
C00073,Model_A,528,85.2,East,-47.35
C00074,Model_A,628,66.1,South,82.03
C00075,Model_A,693,79.8,West,62.32
C00076,Model_A,690,70.1,North,-53.37
C00077,Model_A,603,86.7,North,41.37
C00078,Model_A,671,49.4,North,35.13
C00079,Model_A,645,62.6,East,-15.96
C00080,Model_A,693,39.3,South,96.78
C00081,Model_A,646,61.6,East,-1.53
C00082,Model_A,605,10,South,131.28
C00083,Model_A,622,58.6,North,-81.12
C00084,Model_A,663,37.9,West,-150.04
C00085,Model_A,614,75.7,South,-86.56
C00086,Model_A,646,44.9,West,9.63
C00087,Model_A,583,65,West,33.59
C00088,Model_A,725,48.7,South,322.29
C00089,Model_A,625,69,East,37.03
C00090,Model_A,714,92.4,West,-83.34
C00091,Model_A,641,24.6,South,19.27
C00092,Model_A,729,60.3,North,-70.58
C00093,Model_A,702,53.3,South,210.72
C00094,Model_A,610,35.2,South,70.7
C00095,Model_A,631,85.5,South,22.95
C00096,Model_A,626,48.6,North,-5.7
C00097,Model_A,648,32.3,North,82.35
C00098,Model_A,636,101.2,North,-10.15
C00099,Model_A,786,54,South,142.06
C00100,Model_A,780,52.1,West,90.6
C00101,Model_A,733,37.6,West,-154.53
C00102,Model_A,682,25.8,West,25.24
C00103,Model_A,655,38.5,West,17.26
C00104,Model_A,559,104,North,-90.53
C00105,Model_A,728,53.7,West,15.86
C00106,Model_A,526,60.9,West,-27.03
C00107,Model_A,623,91.3,North,-0.27
C00108,Model_A,772,64.5,North,210.43
C00109,Model_A,763,69,South,57.27
C00110,Model_A,695,58.4,West,86.12
C00111,Model_A,695,62.6,South,212.4
C00112,Model_A,722,113.8,East,-203.61
C00113,Model_A,689,53.2,South,67.3
C00114,Model_A,670,35.1,East,178.25
C00115,Model_A,661,104.8,East,172.41
C00116,Model_A,605,14.1,South,-156.29
C00117,Model_A,802,48.7,North,-7.26
C00118,Model_A,703,76.7,East,32.73
C00119,Model_A,727,74.4,South,44.81
C00120,Model_A,671,30.6,North,120.74
C00121,Model_A,610,65.8,West,89.98
C00122,Model_A,540,51.4,East,-70.45
C00123,Model_A,627,66.7,North,-37.07
C00124,Model_A,601,62.7,South,-63.2
C00125,Model_A,600,53.4,East,-67.07
C00126,Model_A,726,105.8,West,59.85
C00127,Model_A,658,35.1,South,45.15
C00128,Model_A,653,68,West,-82.66
C00129,Model_A,529,19.8,North,60.98
C00130,Model_A,656,58.5,South,-119.34
C00131,Model_A,635,52.9,East,-92.78
C00132,Model_A,717,104.4,East,64.26
C00133,Model_A,607,37.6,South,149.34
C00134,Model_A,747,62.1,West,193.6
C00135,Model_A,703,16,North,-77.89
C00136,Model_A,717,48.9,North,-147.37
C00137,Model_A,686,75.4,East,84.78
C00138,Model_A,647,80.4,West,-5.74
C00139,Model_A,742,51.2,North,-116.09
C00140,Model_A,677,45.8,North,128.06
C00141,Model_A,706,99,North,-0.25
C00142,Model_A,705,107,South,211.67
C00143,Model_A,681,50.8,North,-136.74
C00144,Model_A,677,77.1,North,25.61
C00145,Model_A,639,73.6,South,118.89
C00146,Model_A,758,64.9,East,36.37
C00147,Model_A,594,78.3,North,107.32
C00148,Model_A,557,33.8,South,-39.8
C00149,Model_A,673,53.7,North,54.55
C00150,Model_A,732,26.7,South,-99.2
C00151,Model_A,619,10,South,-58.01
C00152,Model_A,695,22.4,South,97.95
C00153,Model_A,687,70.1,West,-135.11
C00154,Model_A,670,66,East,53.02
C00155,Model_A,769,63.8,East,327.04
C00156,Model_A,601,74.2,East,34.91
C00157,Model_A,681,56.2,South,61.38
C00158,Model_A,625,69.5,West,-117.29
C00159,Model_A,729,71.4,East,-23.65
C00160,Model_A,714,64,West,63.29
C00161,Model_A,698,94.1,South,167.28
C00162,Model_A,650,10,North,98.29
C00163,Model_A,664,55.2,East,61.86
C00164,Model_A,687,91,West,-215.86
C00165,Model_A,668,35.7,South,151.45
C00166,Model_A,593,14.6,West,222.71
C00167,Model_A,699,95.6,West,-91.95
C00168,Model_A,616,77,East,204.89
C00169,Model_A,646,85.9,West,-145.75
C00170,Model_A,612,64.8,East,16.93
C00171,Model_A,742,51.4,East,141.03
C00172,Model_A,696,59.2,East,88.88
C00173,Model_A,625,93.7,South,115.16
C00174,Model_A,606,51.5,North,-8.76
C00175,Model_A,692,101.5,West,-59.13
C00176,Model_A,649,49.1,North,-138
C00177,Model_A,656,83.8,North,11.29
C00178,Model_A,721,53.4,South,45.14
C00179,Model_A,666,43.8,North,-48.51
C00180,Model_A,674,67.5,East,119.85
C00181,Model_A,468,55.1,South,7.67
C00182,Model_A,576,67.7,South,41.28
C00183,Model_A,664,106.5,South,0.98
C00184,Model_A,710,73.4,North,-18.42
C00185,Model_A,634,66,North,73.79
C00186,Model_A,620,51,East,-86.43
C00187,Model_A,767,38,East,166.42
C00188,Model_A,604,66.2,West,221.43
C00189,Model_A,474,76.2,North,131.75
C00190,Model_A,706,48.5,South,-21.43
C00191,Model_A,575,67,West,185
C00192,Model_A,670,44.6,South,1.15
C00193,Model_A,675,72.9,South,173.39
C00194,Model_A,761,82.7,North,-143.41
C00195,Model_A,639,62.5,North,59.26
C00196,Model_A,723,24.2,North,41.25
C00197,Model_A,597,61.2,West,-110.9
C00198,Model_A,631,52.1,South,-56.21
C00199,Model_A,629,46.2,East,-24.93
C00200,Model_A,654,102.1,West,260.86
C00201,Model_A,638,52,East,137.07
C00202,Model_A,647,30.2,West,-118.36
C00203,Model_A,626,37.5,East,-22.61
C00204,Model_A,644,102.2,East,313.54
C00205,Model_A,728,70.6,West,167.49
C00206,Model_A,635,59.2,North,203.04
C00207,Model_A,620,80.7,East,270.15
C00208,Model_A,652,56.9,East,-29.9
C00209,Model_A,730,35.3,West,92.89
C00210,Model_A,691,67.7,South,99.1
C00211,Model_A,740,78,North,10.31
C00212,Model_A,628,10,West,-201.14
C00213,Model_A,614,65.9,North,82.97
C00214,Model_A,692,66.3,East,150.43
C00215,Model_A,640,87.9,East,169.36
C00216,Model_A,680,95.8,North,105.82
C00217,Model_A,666,70.4,South,57.74
C00218,Model_A,580,61.1,East,217
C00219,Model_A,709,40.7,North,88.82
C00220,Model_A,650,26.2,South,81.19
C00221,Model_A,663,77.7,South,-35.46
C00222,Model_A,780,49.1,West,30.46
C00223,Model_A,740,31,East,-115.24
C00224,Model_A,528,21.7,South,133.62
C00225,Model_A,653,69,East,-149.24
C00226,Model_A,643,105.3,South,16.69
C00227,Model_A,707,64,South,170.54
C00228,Model_A,658,106,North,29.76
C00229,Model_A,613,75.1,East,-16.17
C00230,Model_A,587,24.6,North,-32.51
C00231,Model_A,666,35.8,South,169.88
C00232,Model_A,700,114.5,South,89.03
C00233,Model_A,744,49,South,22.03
C00234,Model_A,626,53,East,135.99
C00235,Model_A,639,39.9,East,216.73
C00236,Model_A,676,83.4,South,143.33
C00237,Model_A,607,60.5,South,73.1
C00238,Model_A,639,19.9,North,162.19
C00239,Model_A,673,58.4,North,100.01
C00240,Model_A,670,51.4,South,2.25
C00241,Model_A,687,46.1,West,121.83
C00242,Model_A,689,100.4,East,99.1
C00243,Model_A,614,84.8,West,1.04
C00244,Model_A,714,57.9,East,112.34
C00245,Model_A,661,64.8,West,231.17
C00246,Model_A,567,78.5,West,79.85
C00247,Model_A,591,40.2,South,-28.33
C00248,Model_A,682,91.9,West,34.32
C00249,Model_A,538,15,West,-27.91
C00250,Model_A,755,61.1,West,109.48
C00251,Model_A,669,101,West,77.92
C00252,Model_A,642,13.2,East,117.05
C00253,Model_A,608,62.2,West,103.42
C00254,Model_A,652,70.1,East,136.4
C00255,Model_A,699,59.8,North,163.23
C00256,Model_A,678,50,South,249.93
C00257,Model_A,650,36,West,-90.45
C00258,Model_A,730,60,North,-44.09
C00259,Model_A,690,97.3,South,185.68
C00260,Model_A,587,113.8,North,140.86
C00261,Model_A,630,10,North,130.35
C00262,Model_A,602,52.9,South,26.55
C00263,Model_A,650,47.9,South,-9.7
C00264,Model_A,651,70.2,South,-116.35
C00265,Model_A,710,82.8,West,-115.15
C00266,Model_A,670,101.9,South,-131.14
C00267,Model_A,631,32.2,West,426.6
C00268,Model_A,623,61.6,West,-61.74
C00269,Model_A,590,39.4,South,168.24
C00270,Model_A,683,80.2,South,-31.39
C00271,Model_A,620,40.8,South,-4.87
C00272,Model_A,792,73.3,West,43.82
C00273,Model_A,656,61.1,West,46.3
C00274,Model_A,684,54.3,North,142.06
C00275,Model_A,600,42.7,South,45.06
C00276,Model_A,660,29.9,East,53.07
C00277,Model_A,616,61.4,North,87.4
C00278,Model_A,720,30.6,South,-43.7
C00279,Model_A,668,102.8,West,-14.34
C00280,Model_A,668,67.9,South,62.36
C00281,Model_A,699,36.2,West,148.96
C00282,Model_A,553,84.2,East,341.12
C00283,Model_A,534,89.5,East,94.22
C00284,Model_A,587,66.2,West,11.59
C00285,Model_A,578,76.3,North,87.67
C00286,Model_A,775,31.1,North,176.33
C00287,Model_A,704,30.4,East,83.89
C00288,Model_A,573,28,West,32.69
C00289,Model_A,712,83.8,East,2.12
C00290,Model_A,701,43.2,West,-58
C00291,Model_A,586,81.3,South,198.42
C00292,Model_A,745,66,West,-48.78
C00293,Model_A,692,67.7,East,-18.83
C00294,Model_A,722,32.5,West,39.64
C00295,Model_A,604,43.5,North,-67.95
C00296,Model_A,691,109.1,East,216.15
C00297,Model_A,685,47.8,North,-138.2
C00298,Model_A,701,92.3,East,51.2
C00299,Model_A,688,61.6,East,-212.77
C00300,Model_A,631,70.6,South,-5.93
C00301,Model_A,659,57.4,North,101.45
C00302,Model_A,605,107.4,South,53.01
C00303,Model_A,607,38.6,West,44.97
C00304,Model_A,631,19.5,North,190.11
C00305,Model_A,720,30.7,North,-11.29
C00306,Model_A,617,81,South,82.3
C00307,Model_A,659,63.5,East,77.42
C00308,Model_A,763,84.5,South,82.68
C00309,Model_A,723,56.5,West,-4.72
C00310,Model_A,660,46.6,South,44.39
C00311,Model_A,734,83.4,West,-30.46
C00312,Model_A,703,70.7,South,58.1
C00313,Model_A,636,63.9,East,55.58
C00314,Model_A,620,10,West,-136.89
C00315,Model_A,774,39.2,South,71.05
C00316,Model_A,623,69.9,West,255.95
C00317,Model_A,535,59.2,North,124.82
C00318,Model_A,681,70.1,South,130.09
C00319,Model_A,725,35.7,East,-58.77
C00320,Model_A,594,68.9,North,-325.14
C00321,Model_A,716,21.6,East,-2.04
C00322,Model_A,660,54.6,South,181.03
C00323,Model_A,610,29.8,North,40.89
C00324,Model_A,696,80.7,North,102.73
C00325,Model_A,472,34.5,East,-70.29
C00326,Model_A,683,36.5,North,14.88
C00327,Model_A,630,83.8,West,-60.69
C00328,Model_A,813,53.8,East,152.83
C00329,Model_A,565,90,West,-59.7
C00330,Model_A,731,108.8,East,-60.57
C00331,Model_A,705,41.5,North,125.11
C00332,Model_A,666,68.4,West,128.29
C00333,Model_A,640,74.7,East,54.51
C00334,Model_A,609,39.4,West,54.67
C00335,Model_A,660,46,North,-94.44
C00336,Model_A,649,80.2,East,29.49
C00337,Model_A,581,64.7,West,179.6
C00338,Model_A,678,74.6,East,177.26
C00339,Model_A,720,57.9,West,12.92
C00340,Model_A,604,59.6,East,123.93
C00341,Model_A,704,67.6,North,216.22
C00342,Model_A,636,21.4,North,-59.2
C00343,Model_A,560,65.7,South,216.64
C00344,Model_A,665,64.1,North,8.05
C00345,Model_A,670,85.3,North,4.79
C00346,Model_A,638,112,South,-119.3
C00347,Model_A,583,42.1,South,-242.43
C00348,Model_A,675,88.3,West,-14.55
C00349,Model_A,655,94.7,West,89.53
C00350,Model_A,712,115.2,North,113.76
C00351,Model_A,664,85.4,East,-11.44
C00352,Model_A,774,116,North,39.64
C00353,Model_A,638,60.4,West,-104.86
C00354,Model_A,650,47.7,East,-35.82
C00355,Model_A,688,70.2,East,101.87
C00356,Model_A,716,10,North,-84.57
C00357,Model_A,724,75.7,West,-235.54
C00358,Model_A,646,48,East,-179.29
C00359,Model_A,611,94.1,North,144.94
C00360,Model_A,684,96.4,North,-2.66
C00361,Model_A,651,115.5,East,2.25
C00362,Model_A,671,39.6,South,-145.97
C00363,Model_A,627,50.6,North,58.43
C00364,Model_A,650,31.6,South,144.53
C00365,Model_A,783,101.4,East,224.61
C00366,Model_A,643,44.9,East,-188.93
C00367,Model_A,706,110.4,West,46.49
C00368,Model_A,543,67.9,South,37.24
C00369,Model_A,615,54.9,East,29.87
C00370,Model_A,712,10,North,197.01
C00371,Model_A,777,75.5,West,-22.88
C00372,Model_A,622,86.6,East,98.83
C00373,Model_A,675,57.7,South,144.71
C00374,Model_A,636,60.8,East,-14.21
C00375,Model_A,562,57.7,South,96.82
C00376,Model_A,616,79.6,East,3.42
C00377,Model_A,684,47.6,North,-40.39
C00378,Model_A,621,44.3,West,-68.35
C00379,Model_A,650,85,North,1.08
C00380,Model_A,609,119.5,North,82.89
C00381,Model_A,659,51.5,West,133.76
C00382,Model_A,675,48.1,East,116.06
C00383,Model_A,592,87.1,West,92.56
C00384,Model_A,568,62.3,South,-14.7
C00385,Model_A,629,43,West,7.46
C00386,Model_A,711,76.3,East,160.8
C00387,Model_A,594,82.6,West,-173.15
C00388,Model_A,684,10,South,-41.49
C00389,Model_A,667,58.5,South,-97.13
C00390,Model_A,671,98.8,North,-64.84
C00391,Model_A,610,41.6,South,131.76
C00392,Model_A,767,63.9,South,117.02
C00393,Model_A,703,62.6,West,-336.04
C00394,Model_A,766,55,North,131.54
C00395,Model_A,675,77.5,South,-57.19
C00396,Model_A,702,44.7,North,68.85
C00397,Model_A,617,79.3,West,-70.52
C00398,Model_A,637,10,North,154.83
C00399,Model_A,602,81.7,West,148.64
C00400,Model_A,769,44.4,East,97.67
C00401,Model_A,686,54.1,East,-31.05
C00402,Model_A,687,28.8,West,-46.01
C00403,Model_A,707,51,West,-25.95
C00404,Model_A,622,39.2,North,77.28
C00405,Model_A,578,73.1,West,-9.19
C00406,Model_A,703,59.5,West,217.1
C00407,Model_A,661,77.2,North,-75.67
C00408,Model_A,691,57.2,West,173.8
C00409,Model_A,657,50.2,South,-61.77
C00410,Model_A,658,53.7,South,48.89
C00411,Model_A,631,132.2,West,-120.25
C00412,Model_A,596,93.6,South,20.76
C00413,Model_A,640,64.5,West,57.81
C00414,Model_A,716,72.4,East,137.21
C00415,Model_A,704,20,West,106.38
C00416,Model_A,576,60.4,North,36.6
C00417,Model_A,576,102.2,East,46.21
C00418,Model_A,700,62.3,South,-155.28
C00419,Model_A,602,66.3,South,90.52
C00420,Model_A,540,76.3,South,-33.31
C00421,Model_A,701,97.3,East,-234.08
C00422,Model_A,640,87.3,West,-255.41
C00423,Model_A,599,121.2,North,44.45
C00424,Model_A,626,33.1,East,114.86
C00425,Model_A,604,97.2,West,46.19
C00426,Model_A,643,47.5,South,198.74
C00427,Model_A,643,71.2,North,312.09
C00428,Model_A,704,81.6,North,76.27
C00429,Model_A,601,53.3,East,218.85
C00430,Model_A,554,61.1,South,-19.21
C00431,Model_A,710,109.6,East,24.64
C00432,Model_A,649,53.3,North,309.47
C00433,Model_A,634,77.3,South,-16.56
C00434,Model_A,642,24.9,South,52.63
C00435,Model_A,610,88.1,South,22.06
C00436,Model_A,735,73.3,South,141.27
C00437,Model_A,833,135.1,South,280.25
C00438,Model_A,705,84.1,South,139.24
C00439,Model_A,696,16.9,North,96.93
C00440,Model_A,543,63.7,South,43.34
C00441,Model_A,740,117.7,West,-117.08
C00442,Model_A,654,58.2,East,21.08
C00443,Model_A,554,50.2,South,258.89
C00444,Model_A,532,48.8,North,44.62
C00445,Model_A,734,56,East,8.67
C00446,Model_A,657,66.7,North,8.08
C00447,Model_A,621,72.3,North,-15.33
C00448,Model_A,702,31.7,West,31.95
C00449,Model_A,628,101.4,East,207.96
C00450,Model_A,548,61.1,West,194.25
C00451,Model_A,658,112.8,West,104.79
C00452,Model_A,725,45.5,West,165.2
C00453,Model_A,642,37.7,East,-40.78
C00454,Model_A,588,85.1,East,182.66
C00455,Model_A,703,54.3,West,160.63
C00456,Model_A,647,62.6,West,30.78
C00457,Model_A,756,103,East,189.28
C00458,Model_A,603,39.5,West,-85.42
C00459,Model_A,695,61.8,West,-43.14
C00460,Model_A,673,53.2,South,29.32
C00461,Model_A,633,42.3,South,250.41
C00462,Model_A,619,51.9,South,53.59
C00463,Model_A,720,100,North,183.57
C00464,Model_A,638,39.9,East,137.62
C00465,Model_A,671,35,South,65.02
C00466,Model_A,666,75.7,North,69.05
C00467,Model_A,694,65.9,West,197.11
C00468,Model_A,771,76.5,West,-113.97
C00469,Model_A,692,45.5,North,72.17
C00470,Model_A,761,46.3,East,-132.24
C00471,Model_A,757,66.7,South,195.36
C00472,Model_A,623,51.9,South,62.09
C00473,Model_A,740,88.9,North,-17.3
C00474,Model_A,696,71.9,South,126.42
C00475,Model_A,713,40,West,16.19
C00476,Model_A,695,79.5,East,-62.87
C00477,Model_A,563,108.3,East,-110.51
C00478,Model_A,575,10,South,151.63
C00479,Model_A,659,83,East,0.66
C00480,Model_A,675,10,South,-171.59
C00481,Model_A,688,30.4,East,137.06
C00482,Model_A,602,52.7,South,283.37
C00483,Model_A,705,31.1,South,95.94
C00484,Model_A,625,53.5,East,34.17
C00485,Model_A,606,65.6,North,-27.04
C00486,Model_A,673,69.4,North,-152.44
C00487,Model_A,669,67.9,East,64.07
C00488,Model_A,707,58.8,South,97.4
C00489,Model_A,703,49,North,37.3
C00490,Model_A,585,21.5,South,233.65
C00491,Model_A,673,42.1,West,-66.19
C00492,Model_A,616,68.2,East,223.06
C00493,Model_A,758,71.7,West,0.92
C00494,Model_A,717,104.3,East,167.09
C00495,Model_A,682,83.7,North,138.15
C00496,Model_A,685,40.9,North,219.06
C00497,Model_A,653,43.6,East,131.12
C00498,Model_A,696,75.1,North,41.19
C00499,Model_A,640,10,South,146.33
C00500,Model_A,599,78.5,North,220.1
C00501,Model_A,631,35.8,North,60.71
C00502,Model_A,641,87.3,North,241.67
C00503,Model_A,587,68.3,West,79.25
C00504,Model_A,735,66.6,East,74.32
C00505,Model_A,647,38.9,East,68.42
C00506,Model_A,566,36.4,North,-5.91
C00507,Model_A,652,56.1,South,-188.41
C00508,Model_A,751,11.9,North,-88.5
C00509,Model_A,754,16.3,East,15.79
C00510,Model_A,535,50.4,East,96.51
C00511,Model_A,642,50.2,West,18.2
C00512,Model_A,764,25.7,North,307.61
C00513,Model_A,616,45.7,West,42.84
C00514,Model_A,715,67.3,South,-121.41
C00515,Model_A,661,91.8,South,-133.89
C00516,Model_A,649,35,East,402.19
C00517,Model_A,565,98.1,South,-46.93
C00518,Model_A,622,43.4,South,153.37
C00519,Model_A,694,123.8,North,-24.82
C00520,Model_A,730,42.6,East,11.61
C00521,Model_A,663,28.4,West,55.09
C00522,Model_A,752,92.4,South,101
C00523,Model_A,582,86.6,East,189.89
C00524,Model_A,666,29.8,South,149.1
C00525,Model_A,717,65.7,South,250.05
C00526,Model_A,666,55,West,172.6
C00527,Model_A,610,39.5,North,12.77
C00528,Model_A,657,78.4,South,132.41
C00529,Model_A,634,10,West,-60.41
C00530,Model_A,663,103.9,East,-178.41
C00531,Model_A,599,25.9,South,-69.17
C00532,Model_A,702,64.3,West,-179.82
C00533,Model_A,648,38.4,North,152.57
C00534,Model_A,597,37.7,East,164.84
C00535,Model_A,569,67.4,West,24.48
C00536,Model_A,746,43.3,East,229.63
C00537,Model_A,581,69.5,West,52.77
C00538,Model_A,790,89.5,South,94.87
C00539,Model_A,649,70.9,West,110.97
C00540,Model_A,599,61,East,194.95
C00541,Model_A,717,21.2,West,136.74
C00542,Model_A,708,36.6,East,11.07
C00543,Model_A,717,106.7,East,-49.26
C00544,Model_A,602,66.5,North,56.87
C00545,Model_A,661,36.3,West,137.57
C00546,Model_A,733,96.9,East,158.74
C00547,Model_A,610,91.8,North,51.73
C00548,Model_A,773,82,East,-6.56
C00549,Model_A,637,60.3,South,202.38
C00550,Model_A,699,60.9,West,36.56
C00551,Model_A,754,60.2,East,182.35
C00552,Model_A,727,66.6,South,278.86
C00553,Model_A,642,79.6,South,-86.91
C00554,Model_A,732,29.9,East,132.95
C00555,Model_A,724,58.7,South,-56.85
C00556,Model_A,650,59.4,South,-173.23
C00557,Model_A,690,44.1,West,-72.95
C00558,Model_A,700,75.7,West,-27.99
C00559,Model_A,655,62.1,West,24.49
C00560,Model_A,585,31.2,South,17.6
C00561,Model_A,705,10,South,53.88
C00562,Model_A,640,72.5,West,154.57
C00563,Model_A,709,117.1,East,-227.27
C00564,Model_A,711,56.5,East,115.46
C00565,Model_A,603,75.3,East,173.88
C00566,Model_A,626,100.6,South,-206.04
C00567,Model_A,666,52.5,South,92.36
C00568,Model_A,716,63,East,42.28
C00569,Model_A,617,10,South,277.88
C00570,Model_A,654,73.8,North,-25.15
C00571,Model_A,762,41,South,-45.49
C00572,Model_A,680,33.8,South,23.63
C00573,Model_A,693,40.7,West,18.44
C00574,Model_A,683,135.4,West,212.33
C00575,Model_A,695,90.6,East,162.85
C00576,Model_A,632,82,North,-27.6
C00577,Model_A,631,75.2,East,-203.03
C00578,Model_A,724,59.6,North,-15.81
C00579,Model_A,670,66.9,East,56.86
C00580,Model_A,734,99.9,West,-87.91
C00581,Model_A,716,25.9,North,79.6
C00582,Model_A,631,42.7,South,14.31
C00583,Model_A,600,131.5,North,183.44
C00584,Model_A,620,110.9,South,111.51
C00585,Model_A,697,10,East,-24.23
C00586,Model_A,663,16.8,North,-52.59
C00587,Model_A,736,82.9,South,-12.01
C00588,Model_A,662,40,West,83.13
C00589,Model_A,630,54,North,216.21
C00590,Model_A,683,32.9,North,35.25
C00591,Model_A,633,75,West,108
C00592,Model_A,611,48.2,North,-19.71
C00593,Model_A,701,95.1,West,-252.11
C00594,Model_A,596,51.9,North,11.26
C00595,Model_A,716,79.6,West,180
C00596,Model_A,559,48.4,West,181.41
C00597,Model_A,720,70.2,West,159.82
C00598,Model_A,622,57.3,West,101.2
C00599,Model_A,715,85.5,East,-215.84
C00600,Model_A,622,50.5,North,250.9
C00601,Model_A,643,71.5,East,55.06
C00602,Model_A,687,58.4,West,201.94
C00603,Model_A,719,128.2,East,10.52
C00604,Model_A,636,88.2,East,120.94
C00605,Model_A,613,58.7,South,28.75
C00606,Model_A,603,51.1,South,162.46
C00607,Model_A,631,44.1,East,78.28
C00608,Model_A,652,74.1,East,122.77
C00609,Model_A,695,89.7,North,19.29
C00610,Model_A,714,59.4,North,29.9
C00611,Model_A,655,78.5,West,126.12
C00612,Model_A,675,56.7,North,-113.86
C00613,Model_A,714,28.1,West,42.77
C00614,Model_A,686,37.9,South,152.97
C00615,Model_A,646,101.7,North,-50.15
C00616,Model_A,763,34.9,East,-278.33
C00617,Model_A,695,65.9,West,54.96
C00618,Model_A,652,39,South,139.37
C00619,Model_A,711,33.3,North,115.53
C00620,Model_A,643,10,North,-109.97
C00621,Model_A,637,126.5,North,-35.34
C00622,Model_A,662,67.8,East,41.18
C00623,Model_A,777,24.5,East,118.38
C00624,Model_A,647,78,East,236.5
C00625,Model_A,725,35.3,West,-46.41
C00626,Model_A,562,89.4,South,146.24
C00627,Model_A,617,35.4,East,-9.46
C00628,Model_A,657,59.8,North,-2.74
C00629,Model_A,707,44.7,East,-102.84
C00630,Model_A,690,98.6,South,149.16
C00631,Model_A,597,72.8,East,-5.05
C00632,Model_A,606,45.3,North,186.33
C00633,Model_A,651,53.4,East,39.02
C00634,Model_A,661,93.3,North,46.22
C00635,Model_A,609,59.3,East,163.95
C00636,Model_A,584,43.5,East,-21.7
C00637,Model_A,666,20.3,North,7.1
C00638,Model_A,656,87.7,West,175.91
C00639,Model_A,676,72.7,West,118.64
C00640,Model_A,560,75.5,West,154.74
C00641,Model_A,599,145.9,East,-70.55
C00642,Model_A,699,69.2,North,-17.86
C00643,Model_A,538,47.4,South,54.19
C00644,Model_A,683,29.2,East,252.55
C00645,Model_A,641,56.3,West,-158.99
C00646,Model_A,665,28.3,South,135.46
C00647,Model_A,699,67.5,East,141.31
C00648,Model_A,690,96,South,146.66
C00649,Model_A,663,90.3,South,112.11
C00650,Model_A,557,40.7,West,-232.23
C00651,Model_A,673,60.9,West,70
C00652,Model_A,657,53.3,South,-114.93
C00653,Model_A,792,59.9,West,165.17
C00654,Model_A,651,45,East,-15.29
C00655,Model_A,621,92.8,East,69.41
C00656,Model_A,676,50.9,East,205.94
C00657,Model_A,738,59.7,East,129.47
C00658,Model_A,598,69.7,South,32.46
C00659,Model_A,642,44.7,West,-27.24
C00660,Model_A,683,77.4,East,91.19
C00661,Model_A,536,28.7,West,-39.96
C00662,Model_A,776,29.8,South,-70.74
